,countryterritoryCode,country,Covid_Cases,Covid_deaths,Tuberculosis_Cases,%Sanitazion,popData2019
151,TTO,Trinidad and Tobago,6879,122,220.0,93.92,1394969.0
152,TUN,Tunisia,111361,3894,2678.0,97.43,11694721.0
153,TUR,Turkey,995471,16199,8830.0,99.22,82003882.0
154,UGA,Uganda,27532,221,60887.0,19.79,44269587.0
155,UKR,Ukraine,900666,15247,17533.0,97.74,43993643.0
156,ARE,United Arab Emirates,184949,617,68.0,99.23,9770526.0
157,GBR,United Kingdom of Great Britain and Northern Ireland,1849403,64170,4185.0,99.11,66647112.0
158,TZA,United Republic of Tanzania,509,21,84791.0,31.76,58005461.0
159,USA,United States of America,16256754,299177,6849.0,99.68,329064917.0
160,URY,Uruguay,9708,92,968.0,98.05,3461731.0
161,UZB,Uzbekistan,75094,612,12111.0,100.0,32981715.0
162,VUT,Vanuatu,1,0,83.0,52.71,299882.0
163,VEN,Venezuela (Bolivarian Republic of),107177,949,9150.0,95.76,28515829.0
164,VNM,Viet Nam,1397,35,99852.0,89.25,96462108.0
165,YEM,Yemen,2083,606,8860.0,54.12,29161922.0
166,ZMB,Zambia,18274,367,40000.0,31.9,17861034.0
167,ZWE,Zimbabwe,11246,307,15728.0,35.19,14645473.0
